sentiment sentimenttext
0 "rt dee ihx lydia and her family joining the atamp"
1 "for a splash proof phone the iphone 8 isnt very fucking splash proof"
2 "im at t mobile trying to get the iphone 8 and after i told the guy can we hurry the process bc i have college in a httpstcoqb4bczxgi8"
0 "create awesome custom faces for your applewatch download custom faces iphone app httpstcoctik1x9000da"
0 "might get me a iphone 8 64gb for free fingers crossed httpstcowrs6u9drmj"
2 "theyre also making an iphone x plus in january httpstcoolon0000vwiq"
2 "rt awryaditi excitedly updating my iphone 6s to ios 11will it become an iphone 7 or iphone 8 the suspense is killing me"
1 "rt mereblechman all of a sudden my ipad battery goes from 100 to 0 in 8 hours with zero use i feel like this is apple screwing"
0 "the iphone 8 battery really is good asf"
2 "how to record ultra slow motion 1080p240 fps video on your iphone has been published on my iphone 8 httpstcorjkm5fqotz"
2 "eviegarzoni how you still gonna have typos in tweets with an iphone 8"
0 "getting a new iphone 8 the anxiety over transferring everything over from this phone is already kicking in"
0 "really want the note 8 bt dont nobody wanna take over my iphone "
0 "my mom nd i just got the iphone 8 plus outta nowhere im giggling"
1 "rt christinedobby shares of the big three were all down sharply this morning after freedom said it would offer 0down iphone x and 8"
2 "who has the iphone x do you like itwho has the 8 do you like ithalp"
0 "thanks finally after years i hit two sizes 85 amp"
2 "how are we already at iphone 8 o"
0 "it is very nice that freedom mobile is carrying the iphoneknowing the previous way to use an iphone on their net httpstconcnncvzwj0"
2 "went into atamp"
0 "hello does anyone on this thing have an iphone 8 and if so do u like it"
0 "iphone 8 camera is amazing ashhhbyram httpstcoexdqhzyox9"
2 "rt it starts with okay but the portrait mode on the iphone 8 really got me shook httpstcommvyu4cmfj"
1 "rt kimmymeza i just convinced my last three guest to get the samsungmobile galaxy note 8 or s8 over the apple iphone x "
0 "just spent nearly 600 on an iphone 8 and being the nice sister i am im not using it till harry gets his at christmas"
2 "iphone 6 plus or iphone 8"
0 "rt lloydpato without sounding too much like a hash smoking conspiracy theorist ever since the iphone 8 came out ma 6s has gone f"
0 "hubby is buying me an iphone 8 plus"
1 "primantle are you retarded literally iphone x you gotta waste all your money 8 expensive and 7 best one to get so two phones behind bby"
0 "some girl commented on my iphone 8 and said wow must be nice when you have parents that pay for everything firs httpstcol3f5pmyzt0"
0 "i really want an iphone 8"
0 "god damn iphone 8 produce some sweet pictures even for a night shoot flares are captured by putting my pinky near httpstco8q7i4vrl03"
1 "what the fuck my 8 year old brother has a fucking iphone 6"
0 "yooooo i got the iphone 8 plus and its too big for my hands "
0 "hey vampirina fansdemi now comes in three adorable sizesoktwo adorable"
0 "cool purple"
0 "i just entered an epic giveaway for a brand new iphone 8 you can enter here"
0 "boyyyy this iphone 8 is saucy"
0 "rt harryalba ive had every iphone made except the new 8 or x yet i am calling apple out on the fact that every time a new"
0 "my iphone 7 is glitching and doing shit its never done before you know why cause apple wants me to walk in that s httpstcoy8wdtqtdis"
2 "rt sincir3000 everybody wants to talk about iphone 8 or whateveri just wanna know when tylenol is dropping tylenol 6 even more code"
1 "jh anxiously opens presentlooks insidebut i asked for an iphone x not an iphone 8 plus"
0 "so buying an iphone x in the states is pretty much the same price as buying an 8 here come at me april "
2 "weejiaqi i cant decide sia cause im used to using big phone then iphone x small but the screen same size as 8 a httpstco143tk1iqsl"
2 "iphone 8 en"
2 "tmobile is the iphone 8 any good"
0 "this is the best day of my life httpstcottbto6sroa"
1 "veryhelpers i accidentally bought an iphone 8 without adding the 20 discount code i called but they couldnt cancel my order can you"
0 "my parents show up today and randomly buy me the rose gold iphone 8 plus i love them lol"
2 "i bought an iphone 7 back in august broke it 3 months later filed a claim paid a 200 decductible thank god for httpstcoptj78j1l0g"
0 "mickey amp"
0 "iphone 8 top 3 smartphone of the year along with the google pixel 2 xl and iphone x"
2 "iphone 4s 008 has been published on my iphone 8 httpstcomgypabclgu httpstcow52savcieg"
0 "can it be friday so i can get the iphone 8 plus lol"
0 "rt tmobile the only thing better than an iphone 8 is a second iphone 8 httpstcomwqkniofql"
0 "so i just upgraded to the iphone 8 plus and the camera on it is beyond amazing"
2 "v cool videosomoportrait tests between the iphone x vs pixel 2 xl vs note 8 by moment which do you think is httpstcommuops4y9u"
0 "didierkaitlin i made the switch from the iphone 7 to the iphone 8 plus "
0 "enzochhb iphone 8 khey"
2 "you think apple skipped the iphone 9 because 7"
0 "taylorcaniff is there any possible way to up the case sizes i have the iphone 8 and i would really love this case httpstcocizf2sv5vw"
0 "ok theres a buy an iphone 8 get one free deal on friday amp"
0 "rt poutb0y iphone 8 find me a gf httpstcougamiycn9b"
1 "yes i am getting a iphone 8 free what a freakin day"
0 "thanks i went with he iphone 8 plus which has an improvement over the iphone 7 it fits me better"
0 "i had this iphone since january and it my battery life never been under 60 into today its on 8 only because ive httpstco5ts7wvtgmz"
2 "still cant decide if i want the iphone x or 8 plus lol "
2 "got the iphone 8 today cuz my clumsy ass always having accidents httpstcooumlkg9b0t"
0 "i finally got an iphone 8 plus the camera is so much better than the camera on my 5s "
2 "rt theviralmeme me whats the difference between iphone 7 and iphone 8apple employee httpstcoojzadxpttp"
0 "rt deleteitugly so today i took photos of my family with my iphone 8 plus we were all getting out of the bed dont judge our clap"
2 "should i get the iphone x or 8 plus went to verizon today and the payments are only 10 dollars different each mont httpstcoba9g2ladj1"
0 "getting a new phone on friday as ive been saving for a while and parents are going half and its for my birthday httpstcosnbrj6rehz"
1 "fulloanime this is the only reason why i would get an iphone 88"
2 "i remember walking in a phone store and couldnt find a iphone to buy now the 8"
2 "iphone 8 or x"
1 "ryan hamill iphone 8 is the shit "
0 "bought summer and myself them iphone 8s"
2 "is wireless charging this bad for everyone phone position must be within a 1cm area to work iphonex httpstcoq3mwduyzj9"
2 "stroughtonsmith i agree id be extremely surprised if they released another iphone 8style phone next year"
0 "matthew got the iphone 8 today amp"
2 "iphone 7 plus or iphone 8 help pls"
2 "yes i twitter search my game to see if its charting so what httpstco9000vanmsws2"
0 "guess who just got the iphone 8 "
1 "stupid wireless headphones need charging and i just want to listen to lore while i work"
2 "i got my 5 year old the iphone 8 and ive gotten a lot of backlash smh"
1 "hey itunes and appstore why cant i download anything since ios 11 on my iphone 8 help me i just want to lis httpstcokuwxhcpvmp"
2 "rt moment rt for team iphone xlike for team pixel 2 xlreply for team note 8the ultimate shootout video"
0 "rt deleteitugly so today i took photos of my family with my iphone 8 plus we were all getting out of the bed dont judge our clap"
1 "im done waiting for the iphone x im done hearing about it having huge problems ugh cancelled preorder and getting the 8 today "
2 "apple i dont know what you lot did with the updates after the release of the iphone 8"
1 "this is what im stuck on httpstco2z1g6hjsyf"
0 "ericossie iphone 8 "
0 "5 popzoaazaaqzular wireless chargers we love for the iphone x and 88 plus httpstco7000hwt0jcxm via as usatoday"
0 "i miss my iphone 7 just cause it was black i wish my 8 was black lol"
2 "i went to buy iphone x atamp"
0 "edtechunlv my iphone 8 has a feature called voiceover which gives you a complete description of whats going on on httpstcol9fuo7pgru"
1 "rt licknord attn nyc ppl watch out for ppl telking you theylk sell you an iphone 8x for the low w thus box dont get finessed httpst"
0 "rt m whitfield hey vampirina fansdemi now comes in three adorable sizesoktwo adorable"
0 "apple fans willing to wait in front of stores for a new iphone"
2 "iphone 8 plus in my pocket"
2 "im cool on the iphone x i might think on the 8 plus later on but ima stay loyal to my 7 plus "
2 "im discussing with my momabout getting the iphone 8 im naming him minghao"
0 "rt deleteitugly so today i took photos of my family with my iphone 8 plus we were all getting out of the bed dont judge our clap"
0 "beautiful glitter liquid phone cases for iphone 6 to 8 plus httpstcogzqj09go8p"
0 "got impatient on waiting for the iphone x to be back in stock and got an iphone 8 plus i hate myself lmao"
1 "sorry in advance bc when my iphone8 gets here my selfie game is going to be nice asf "
0 "oh happy day iphone8"
1 "if the iphone8 is so great how come you get a free one when you buy one"
1 "apple hey apple iphone8 is the worst phone everjust fyi"
2 "birds rye view iphone8 justforfun flying random acts of photography httpstco1trj1txnko httpstcol2h4waiyzd"
2 "rt motvz hey can i copy your homework yes just make a lil different so nobody notice iphone8 httpstcokjyocegjn1"
2 "telegram fixed an issue with battery usage iphone8 ios112"
0 "the iphone8 camara is too a1"
2 "was not planning on spending 3 hours today trying to charge my iphone8 and keeping it from turning off while upda httpstco1sygtiaryl"
1 "welp was most excited to see my mom after landing but after telling her i lost my 6 week old iphone8i might as httpstco4x4otni9iw"
0 "after one month of use the iphonex is more of a home run instead of a complete grand slam httpstconn1zmimkne"
0 "i love the iphone8 just got a wireless charger for it"
0 "rt techinrl charge your iphone faster ios 11 edition httpstcomo7hjgkoqs iphone iphonex iphone iphone7s ios11 ios iphone8 "
1 "i hope applesupport apple can fix this iphone8crash issue i had to set my phone back to december 1 to stop the httpstcou4r4b1000000ae"
2 "for the moment apple is not binning much their part for the iphonei wonder when they will start doing it with mo httpstcohh8nwgmffm"
0 "hhhh my mom bought an iphone8 and well i didnt know icloud auto syncs so my parents contacts are all deleted mhmhmhmfkkf"
1 "i just realized that if you have the iphone8x you wont be able to use your earphones while charging apple ya sneaky lil bitch"
2 "that iphone x looks just like an android samsung galaxy s8 to be exact "
2 "iphone the 10 iphone and ipad games you need to play from november 2017 httpstco543btsl9ot iphone"
1 "rt verizon now you can cross iphone off your wish list httpstcohlav526000mf"
1 "looking for my phone thinking i left it in the bathroom so im in class panicking so im just thinking how my momma httpstcoljifzar2ey"
0 "why buy a dslr camera when my iphone takes basically just as good of a picture httpstcoz9tp9undon"
1 "im thinking of buying the misfit vapor what do people think about it i have an iphone but i dont like the appl httpstcossqfrnwau7"
2 "iphone x still wrapped in box should i sell it"
1 "my friend just said buying an iphone adapter at the airport is like buying drugs at the club"
2 "rt parthibanrajage how to change imei number on iphone deviceshttpstcoeweejohk3biphone imei iphonetips ios geekeasier"
1 "rt t riumphant endsarsif you dont follow this trend you are either poor and wants to be unfortunate or officially madsomebody"
2 "elegantleinsane yea bro my customers all came in like wtf why my iphone doing this i had to research it because httpstcobql2p9qr6y"
0 "mkbhd i need iphone x"
1 "why didnt i buy an iphone 8 buy one and get another i could have flipped both phones on the low 50000 for ea httpstcoaqtrxvnxgg"
2 "she is just learningwait until they take her apple products and then she will have to learn how to escape withou httpstcoukgyvu9jjr"
0 "everyapplepro i love the iphone x way better"
1 "peee fuck dude wide awake glide tiddy fuck actually spends money on iphone charger go get some mt dew smash down yall yass"
2 "lets play fat mouse and family games download for iphoneipad or android httpstcowkugsu4000du httpstcoq609rc2fbx"
2 "everyapplepro the ones who cant afford a real iphone"
1 "getting an iphone in 2 months omg"
0 "i have completed world wonder quest in paradise island for iphone httpstcotqtcoyxptt gameinsight iphonegames iphone"
0 "ive just received an achievement creator httpstcos3rfutiyza iphone iphonegames gameinsight"
2 "guys i just found out why there isnt an iphone 9 because 7 ate 9"
1 "not only iphone x missed the mark with the times falling behind with the technology they missed the mark with the httpstcoo3r0uho1au"
0 "really tempted to get the iphone x"
2 "rt valerieornelass a naked iphone is so satisfying yet so dangerous"
2 "the 10 iphone and ipad games you need to play from november 2017 has been published on my iphone 8 httpstco9wmlnient6"
1 "iphone insecurity httpstcoiu56njmxqv"
1 "iphoneupdate apple loop surprise new iphone model leaks"
0 "i got the iphone 8 plus and the camera is tooooooooooo nice"
2 "post us or im sending the iphone x back httpstcoc7maccunoq"
1 "xlilkeith youtube well at least i get that revenue haha that really does suck must be something with iphone t httpstco8rj10owona"
0 "rt myaynelle still wants iphone x httpstcosnzdzgdhzc"
0 "a mild dec toronto eve were huddled round the iphone listening to opry great show cant wait to hear httpstcoce64vuwicy"
0 "everyapplepro an iphone se would be extremely small to what im used to so im fine with the x"
0 "all new videos and photos by bailey pena on her iphone 88 plus hahaha vibetribe"
2 "rt kylewebre1 if i have kids theyre going outside to play in the dirt and river like i did none of the iphone and ipad shit bc"
1 "and the shit is crazy how i go through iphones httpstcoqoddnjqwh3"
1 "nearly a third of all iphone owners have damaged their phone and have spent 6 billion on repairs since 2007"
0 "uhhhh so the iphone x camera is actually amazing httpstco9yiokuhu3q"
1 "my iphone gives me so many problems every single day but im too stubborn to switch to android"
0 "yay 6 more weeks till i can upgrade to an iphone 8 "
0 "apple ive hade iphone x for awhile now i love it keep it up apple your number one"
2 "everyapplepro iphone x is good enough until x plus"
0 "i love my iphone 6 and thought this would be my phone for good but i think i might need that x"
2 "rt jackposobiec millennial uses her apple iphone to draw a communist sign httpstcowsmutovpx0"
0 "clinton1550 zcichy ohmdee feel free i was considering switching to an ipad and iphone this cycle in looking at httpstcov4c1e0urcf"
1 "this is such a terrific idea its one thing to know that the white on your phone is actually a collection of red httpstco8ym6qerpls"
1 "would like iphone8 plus but dont afford it for now"
1 "so iphone 7plus has better specifications than iphone 8 and iphone8 plus is just almost the same with iphone 7plus specs bat ganon"
